CDAS size	Percentage of unidirectional links (in Graph induced by CDAS)	Avg. Trans. range of nodes in CDAS	InDegree	OutDegree	Bidirectional links	Node degree	Avg SPL on orig. graph	Avg SPL via CDAS	
62	56	31	10	10	6	14	5	4	
59	60	30	10	10	6	15	5	3	
58	57	31	9	10	6	14	5	4	
65	57	29	10	10	6	14	5	4	
62	61	28	9	9	5	13	5	4	
65	57	30	10	10	6	14	5	3	
53	60	33	11	11	6	16	5	3	
55	56	29	10	9	6	13	6	3	
54	56	30	10	10	6	13	5	4	
65	61	28	10	9	5	13	5	4	
72	64	28	11	10	6	15	4	3	
58	57	31	10	11	6	14	5	3	
55	53	31	10	10	6	14	5	4	
70	63	29	9	9	5	13	5	4	
54	58	33	10	11	7	15	5	3	
68	63	28	10	9	5	14	4	3	
59	56	31	10	10	6	14	6	4	
59	56	30	10	10	6	14	5	4	
56	57	30	9	10	6	13	5	4	
58	60	30	10	10	6	14	5	3	
60	54	29	9	9	6	13	5	3	
61	60	29	10	9	5	13	5	4	
52	61	31	10	11	6	15	5	4	
62	58	30	10	11	6	15	5	4	
59	56	28	10	10	6	14	6	4	
59	54	30	9	10	6	14	5	4	
58	54	29	9	10	6	13	6	3	
66	61	28	10	8	5	13	5	4	
50	52	31	11	11	7	15	4	3	
53	55	31	11	12	7	16	5	3	
59	52	31	10	11	6	14	5	4	
64	54	31	9	10	6	13	5	4	
61	57	29	10	9	6	13	5	4	
54	53	30	9	10	6	13	7	4	
56	56	30	10	11	6	15	5	4	
57	53	31	9	10	6	13	6	4	
61	62	31	11	11	6	15	4	3	
55	56	30	11	10	7	15	5	4	
63	59	29	9	9	5	12	6	4	
61	57	30	9	9	5	12	6	4	
54	50	33	10	11	7	15	4	3	
63	60	30	9	9	5	13	6	4	
53	59	30	10	9	6	13	6	4	
60	59	31	10	10	6	14	5	3	
56	51	31	10	10	6	14	4	4	
58	54	28	9	8	5	12	6	4	
59	59	30	9	10	6	14	6	4	
70	59	28	9	8	5	12	6	4	
65	58	30	9	9	5	13	5	4	
57	57	30	10	10	6	14	6	4	
59	56	29	10	11	6	15	5	3	
52	52	32	11	12	7	15	5	3	
58	58	31	10	11	7	15	5	3	
62	60	29	9	9	5	13	5	4	
58	57	30	10	10	6	13	5	4	
68	61	29	9	9	5	13	5	4	
56	58	31	11	11	7	15	4	3	
50	53	32	10	11	6	14	5	4	
62	59	29	10	10	6	13	5	4	
70	54	30	8	9	5	12	5	4	
55	59	32	11	11	7	14	6	3	
59	61	31	9	10	6	14	5	4	
60	57	29	9	9	5	13	5	4	
65	58	30	10	10	6	14	5	4	
58	57	31	11	12	7	16	5	3	
57	56	31	9	9	6	12	6	4	
69	62	27	10	9	5	13	6	4	
58	60	28	10	10	6	14	5	4	
56	57	30	11	11	7	15	4	3	
61	60	31	10	10	6	14	5	4	
64	63	29	9	9	5	13	5	4	
61	57	30	10	10	6	14	5	3	
65	59	30	10	10	6	14	5	4	
63	57	30	9	9	5	12	6	4	
64	67	28	10	9	5	14	6	4	
61	59	29	8	8	5	12	6	4	
60	58	31	10	10	6	13	6	4	
60	53	31	10	10	6	14	5	4	
59	56	28	9	9	6	13	6	4	
63	59	28	9	9	5	13	5	4	
55	52	31	10	10	6	13	5	4	
64	56	30	10	10	6	14	4	3	
64	62	30	9	10	5	13	5	4	
60	58	31	9	10	6	13	6	4	
61	63	30	10	9	5	14	4	4	
60	59	29	9	9	6	13	5	4	
53	58	32	11	12	7	16	5	4	
63	59	28	9	9	5	12	5	4	
57	59	30	11	10	6	14	5	4	
52	54	32	10	10	7	14	6	4	
68	63	28	10	10	5	14	5	4	
63	61	29	10	10	6	14	4	4	
62	59	31	10	11	6	15	4	3	
68	55	29	9	9	6	12	5	4	
62	56	31	11	11	7	15	4	3	
50	59	32	10	11	7	15	5	3	
57	57	31	10	10	6	14	5	4	
63	57	30	9	10	6	13	6	4	
62	60	30	9	10	5	13	5	4	
60	56	31	11	10	7	15	4	3	
