CDAS size	Percentage of unidirectional links (in Graph induced by CDAS)	Avg. Trans. range of nodes in CDAS	InDegree	OutDegree	Bidirectional links	Node degree	Avg SPL on orig. graph	Avg SPL via CDAS	
21	0	50	39	39	39	39	4	2	
20	0	50	40	40	40	40	3	2	
17	0	50	43	43	43	43	3	2	
19	0	50	39	39	39	39	3	2	
17	0	50	42	42	42	42	3	2	
21	0	50	37	37	37	37	3	2	
22	0	50	36	36	36	36	4	2	
21	0	50	39	39	39	39	4	2	
20	0	50	41	41	41	41	3	2	
24	0	50	37	37	37	37	3	2	
20	0	50	40	40	40	40	4	2	
23	0	50	38	38	38	38	3	2	
21	0	50	39	39	39	39	3	2	
20	0	50	40	40	40	40	3	2	
23	0	50	36	36	36	36	3	2	
21	0	50	40	40	40	40	3	2	
19	0	50	39	39	39	39	4	2	
22	0	50	39	39	39	39	3	2	
23	0	50	34	34	34	34	3	2	
22	0	50	40	40	40	40	3	2	
23	0	50	38	38	38	38	3	2	
19	0	50	39	39	39	39	3	2	
26	0	50	35	35	35	35	3	2	
23	0	50	36	36	36	36	4	2	
19	0	50	39	39	39	39	3	2	
24	0	50	37	37	37	37	3	2	
20	0	50	37	37	37	37	4	2	
22	0	50	37	37	37	37	3	2	
22	0	50	37	37	37	37	3	2	
18	0	50	40	40	40	40	3	2	
19	0	50	40	40	40	40	3	2	
18	0	50	41	41	41	41	3	2	
22	0	50	39	39	39	39	3	2	
19	0	50	40	40	40	40	3	2	
24	0	50	39	39	39	39	3	2	
19	0	50	39	39	39	39	4	2	
21	0	50	38	38	38	38	3	2	
21	0	50	40	40	40	40	3	2	
23	0	50	38	38	38	38	3	2	
19	0	50	38	38	38	38	4	2	
21	0	50	38	38	38	38	4	2	
26	0	50	35	35	35	35	4	2	
24	0	50	39	39	39	39	3	2	
23	0	50	39	39	39	39	3	2	
22	0	50	38	38	38	38	3	2	
25	0	50	36	36	36	36	3	2	
21	0	50	37	37	37	37	3	2	
22	0	50	37	37	37	37	3	2	
22	0	50	38	38	38	38	3	2	
22	0	50	38	38	38	38	3	2	
23	0	50	40	40	40	40	3	2	
23	0	50	36	36	36	36	3	2	
23	0	50	37	37	37	37	3	2	
25	0	50	38	38	38	38	3	2	
25	0	50	35	35	35	35	4	2	
23	0	50	38	38	38	38	3	2	
23	0	50	38	38	38	38	3	2	
22	0	50	37	37	37	37	3	2	
23	0	50	37	37	37	37	3	2	
20	0	50	39	39	39	39	3	2	
20	0	50	41	41	41	41	3	2	
18	0	50	41	41	41	41	5	2	
23	0	50	37	37	37	37	3	2	
24	0	50	34	34	34	34	4	2	
20	0	50	42	42	42	42	3	2	
21	0	50	40	40	40	40	3	2	
21	0	50	40	40	40	40	3	2	
21	0	50	40	40	40	40	4	2	
26	0	50	35	35	35	35	3	2	
23	0	50	40	40	40	40	3	2	
21	0	50	40	40	40	40	3	2	
20	0	50	40	40	40	40	3	2	
20	0	50	37	37	37	37	3	2	
22	0	50	37	37	37	37	3	2	
21	0	50	38	38	38	38	3	2	
23	0	50	39	39	39	39	3	2	
18	0	50	42	42	42	42	3	2	
21	0	50	40	40	40	40	3	2	
19	0	50	41	41	41	41	3	2	
25	0	50	37	37	37	37	3	2	
22	0	50	37	37	37	37	4	2	
19	0	50	41	41	41	41	3	2	
23	0	50	37	37	37	37	3	2	
23	0	50	36	36	36	36	4	2	
18	0	50	42	42	42	42	3	2	
19	0	50	39	39	39	39	3	2	
20	0	50	37	37	37	37	3	2	
22	0	50	39	39	39	39	3	2	
23	0	50	37	37	37	37	3	2	
22	0	50	40	40	40	40	4	2	
19	0	50	42	42	42	42	4	2	
21	0	50	37	37	37	37	4	2	
23	0	50	39	39	39	39	3	2	
22	0	50	36	36	36	36	4	2	
20	0	50	39	39	39	39	3	2	
21	0	50	39	39	39	39	3	2	
20	0	50	39	39	39	39	4	2	
23	0	50	39	39	39	39	3	2	
20	0	50	40	40	40	40	3	2	
21	0	50	38	38	38	38	3	2	
